Correlativo;Tipo_bano;Variante;Fecha;Proceso;T_Espera_min;T_Real_min;T_Real_Acumulado_min;TT;Cumple_TT;Diferencia_TT_min;Porcentaje_TT;Operario_1;Operario_2;Operario_3;T_Real_horas;T_Espera_horas;T_Real_Acumulado_horas;Diferencia_TT_horas
77;77-B1-B6;B6;2025-04-22;ARMADO TABIQUES 6;0.0;10.13;10.13;20;True;-9.87;50.67;JCO;;;0.17;0.0;0.17;-0.16
77;77-B1-B6;B6;2025-04-22;ARMADO TABIQUES 5;0.0;8.8;18.93;20;True;-11.2;44.0;CA;;;0.15;0.0;0.32;-0.19
77;77-B1-B6;B6;2025-04-22;ARMADO TABIQUES 4;0.0;24.48;43.42;20;False;4.48;122.42;CA;;;0.41;0.0;0.72;0.07
77;77-B1-B6;B6;2025-04-22;ARMADO TABIQUES 3;0.0;26.82;70.23;20;False;6.82;134.08;JCO;;;0.45;0.0;1.17;0.11
77;77-B1-B6;B6;2025-04-22;ARMADO TABIQUES 2;0.0;28.05;98.28;20;False;8.05;140.25;CA;;;0.47;0.0;1.64;0.13
77;77-B1-B6;B6;2025-04-22;ARMADO TABIQUES 1;0.0;40.6;138.88;20;False;20.6;203.0;JCO;;;0.68;0.0;2.31;0.34
77;77-B1-B6;B6;2025-04-22;ARMADO JAULAS;34.6;84.15;223.03;60;False;24.15;140.25;CA;;;1.4;0.58;3.72;0.4
77;77-B1-B6;B6;2025-04-22;REVESTIMIENTO DE MUROS;7.0;45.2;268.23;60;True;-14.8;75.33;SN;;;0.75;0.12;4.47;-0.25
77;77-B1-B6;B6;2025-04-22;CANALIZACIÓN ELÉCTRICA;0.0;62.58;330.82;60;False;2.58;104.31;MC;;;1.04;0.0;5.51;0.04
77;77-B1-B6;B6;2025-04-22;RED AGUA POTABLE;45.0;84.93;415.75;60;False;24.93;141.56;JC;;;1.42;0.75;6.93;0.42
77;77-B1-B6;B6;2025-04-23;PAVIMENTO SPC;0.0;42.38;458.13;60;True;-17.62;70.64;SN;;;0.71;0.0;7.64;-0.29
77;77-B1-B6;B6;2025-04-23;TRATAMIENTO UNIONES;0.0;37.37;495.5;60;True;-22.63;62.28;JA;;;0.62;0.0;8.26;-0.38
77;77-B1-B6;B6;2025-04-23;REFUERZOS;0.0;93.68;589.18;60;False;33.68;156.14;JCO;;;1.56;0.0;9.82;0.56
77;77-B1-B6;B6;2025-04-23;INSTALACIÖN DE TINA/RECEPTÁCULO;88.0;45.37;634.55;60;True;-14.63;75.61;AF;;;0.76;1.47;10.58;-0.24
