Mes;Día ;Fecha;Tipo_bano;Correlativo;Proceso;TT;T. Espera;T. Real;Operario
Abril;22;22-04-2025;B2-E;83;ARMADO TABIQUES 1;20;0:00:00;0:30:12;JCO
Abril;22;22-04-2025;B2-E;83;ARMADO TABIQUES 2;20;0:00:00;0:52:04;CA
Abril;22;22-04-2025;B2-E;83;ARMADO TABIQUES 3;20;0:00:00;0:24:18;JCO
Abril;22;22-04-2025;B2-E;83;ARMADO TABIQUES 4;20;0:00:00;0:31:16;CA
Abril;22;22-04-2025;B2-E;83;ARMADO JAULAS;60;0:00:00;0:38:33;SN - DS
Abril;22;22-04-2025;B6-N;77;ARMADO TABIQUES 6;20;0:00:00;0:10:08;JCO
Abril;22;22-04-2025;B6-N;77;ARMADO TABIQUES 5;20;0:00:00;0:08:48;CA
Abril;22;22-04-2025;B6-N;77;ARMADO TABIQUES 4;20;0:00:00;0:24:29;CA
Abril;22;22-04-2025;B6-N;77;ARMADO TABIQUES 3;20;0:00:00;0:26:49;JCO
Abril;22;22-04-2025;B6-N;77;ARMADO TABIQUES 2;20;0:00:00;0:28:03;CA
Abril;22;22-04-2025;B6-N;77;ARMADO TABIQUES 1;20;0:00:00;0:40:36;JCO
Abril;22;22-04-2025;B6-N;77;ARMADO JAULAS;60;0:34:36;1:24:09;CA
Abril;22;22-04-2025;B1-E;79;ARMADO TABIQUES 1;20;0:00:00;0:56:50;JCO
Abril;22;22-04-2025;B1-E;79;ARMADO TABIQUES 2;20;0:00:00;0:14:18;JCO
Abril;22;22-04-2025;B1-E;79;ARMADO TABIQUES 3;20;0:00:00;0:22:56;JCO
Abril;22;22-04-2025;B1-E;79;ARMADO TABIQUES 4;20;0:00:00;0:35:15;JCO
Abril;22;22-04-2025;B1-E;79;ARMADO TABIQUES 5;20;0:00:00;0:24:55;JCO
Abril;22;22-04-2025;B1-E;79;ARMADO TABIQUES 6;20;0:00:00;0:18:16;JCO
Abril;22;22-04-2025;B1-E;79;ARMADO JAULAS;60;0:00:00;1:08:42;SN - CA
Abril;28;28-04-2025;B4-N;84;ARMADO TABIQUES 1;20;0:00:00;0:57:28;JCO
Abril;28;28-04-2025;B4-N;84;ARMADO TABIQUES 2;20;0:00:00;0:32:01;CA
Abril;28;28-04-2025;B4-N;84;ARMADO TABIQUES 3;20;0:00:00;0:10:12;CA
Abril;28;28-04-2025;B4-N;84;ARMADO TABIQUES 4;20;0:00:00;0:19:26;JCO
Abril;28;28-04-2025;B4-N;84;ARMADO TABIQUES 5;20;0:21:00;0:10:26;CA
Abril;28;28-04-2025;B4-N;84;ARMADO TABIQUES 6;20;0:00:00;0:23:08;JCO
Abril;28;28-04-2025;B4-N;84;ARMADO JAULAS;60;0:00:00;0:55:45;SN
Abril;28;28-04-2025;B3-N;85;ARMADO TABIQUES 1;20;0:00:00;0:17:36;JCO
Abril;28;28-04-2025;B3-N;85;ARMADO TABIQUES 2;20;0:00:00;0:13:40;JCO
Abril;28;28-04-2025;B3-N;85;ARMADO TABIQUES 3;20;0:00:00;0:23:22;CA
Abril;28;28-04-2025;B3-N;85;ARMADO TABIQUES 4;20;0:00:00;0:27:56;JCO
Abril;28;28-04-2025;B3-N;85;ARMADO TABIQUES 5;20;0:00:00;0:07:42;JCO
