Correlativo;Edificio;Piso;Baño;Tipo_bano
77;Edificio B;Piso 1;Baño 6;77-B1-B6
78;Edificio B;Piso 1;Baño 2;78-B1-B2E
79;Edificio B;Piso 2;Baño 1;79-B2-B1E
80;Edificio B;Piso 2;Baño 2;80-B2-B2b
81;Edificio B;Piso 2;Baño 3;81-B2-B3
82;Edificio B;Piso 2;Baño 3;82-B2-B3
83;Edificio B;Piso 2;Baño 2;83-B2-B2E
84;Edificio B;Piso 2;Baño 4;84-B2-B4
85;Edificio B;Piso 2;Baño 3;85-B2-B3
86;Edificio B;Piso 2;Baño 2;86-B2-B2E
87;Edificio B;Piso 2;Baño 2;87-B2-B2
88;Edificio B;Piso 2;Baño 4;88-B2-B4b
89;Edificio B;Piso 2;Baño 4;89-B2-B4
90;Edificio B;Piso 2;Baño 6;90-B2-B6E
91;Edificio B;Piso 2;Baño 6;91-B2-B6
92;Edificio B;Piso 2;Baño 2;92-B2-B2
93;Edificio B;Piso 2;Baño 2;93-B2-B2E
94;Edificio B;Piso 3;Baño 1;94-B3-B1E
95;Edificio B;Piso 3;Baño 2;95-B3-B2b
96;Edificio B;Piso 3;Baño 3;96-B3-B3
97;Edificio B;Piso 3;Baño 3;97-B3-B3
98;Edificio B;Piso 3;Baño 2;98-B3-B2E
99;Edificio B;Piso 3;Baño 4;99-B3-B4
100;Edificio B;Piso 3;Baño 3;100-B3-B3
101;Edificio B;Piso 3;Baño 2;101-B3-B2E
102;Edificio B;Piso 3;Baño 2;102-B3-B2
103;Edificio B;Piso 3;Baño 4;103-B3-B4b
104;Edificio B;Piso 3;Baño 4;104-B3-B4
105;Edificio B;Piso 3;Baño 6;105-B3-B6E
106;Edificio B;Piso 3;Baño 6;106-B3-B6
107;Edificio B;Piso 3;Baño 2;107-B3-B2
108;Edificio B;Piso 3;Baño 2;108-B3-B2E
109;Edificio B;Piso 4;Baño 1;109-B4-B1E
110;Edificio B;Piso 4;Baño 2;110-B4-B2b
111;Edificio B;Piso 4;Baño 3;111-B4-B3
112;Edificio B;Piso 4;Baño 3;112-B4-B3
113;Edificio B;Piso 4;Baño 2;113-B4-B2E
114;Edificio B;Piso 4;Baño 4;114-B4-B4
115;Edificio B;Piso 4;Baño 3;115-B4-B3
116;Edificio B;Piso 4;Baño 2;116-B4-B2E
117;Edificio B;Piso 4;Baño 2;117-B4-B2
118;Edificio B;Piso 4;Baño 4;118-B4-B4b
119;Edificio B;Piso 4;Baño 4;119-B4-B4
120;Edificio B;Piso 4;Baño 6;120-B4-B6E
121;Edificio B;Piso 4;Baño 6;121-B4-B6
122;Edificio B;Piso 4;Baño 2;122-B4-B2
123;Edificio B;Piso 4;Baño 2;123-B4-B2E
124;Edificio B;Piso 5;Baño 1;124-B5-B1E
125;Edificio B;Piso 5;Baño 2;125-B5-B2b
126;Edificio B;Piso 5;Baño 3;126-B5-B3
127;Edificio B;Piso 5;Baño 3;127-B5-B3
128;Edificio B;Piso 5;Baño 2;128-B5-B2E
129;Edificio B;Piso 5;Baño 4;129-B5-B4
130;Edificio B;Piso 5;Baño 3;130-B5-B3
131;Edificio B;Piso 5;Baño 2;131-B5-B2E
132;Edificio B;Piso 5;Baño 2;132-B5-B2
133;Edificio B;Piso 5;Baño 4;133-B5-B4b
134;Edificio B;Piso 5;Baño 4;134-B5-B4
135;Edificio B;Piso 5;Baño 6;135-B5-B6E
136;Edificio B;Piso 5;Baño 6;136-B5-B6
137;Edificio B;Piso 5;Baño 2;137-B5-B2
138;Edificio B;Piso 5;Baño 2;138-B5-B2E
